Ramas de actividad,Año,Total,Código
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5860780,7
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6175425,7
añadido bruto total,2021,27170811,7
añadido bruto total,2020,23905508,7
añadido bruto total,2019,30777649,7
netos sobre los productos,2021,2860857,7
netos sobre los productos,2020,2292582,7
netos sobre los productos,2019,3157653,7
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30031668,7
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26198090,7
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,33935302,7
"Agricultura, ganadería, silvicultura y pesca",2021,723577,8
"Agricultura, ganadería, silvicultura y pesca",2020,823535,8
"Agricultura, ganadería, silvicultura y pesca",2019,895896,8
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,32134195,8
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,29055554,8
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,31248511,8
- De las cuales: Industria manufacturera,2021,27764672,8
- De las cuales: Industria manufacturera,2020,25263528,8
- De las cuales: Industria manufacturera,2019,27412031,8
Construcción,2021,7393843,8
Construcción,2020,7182337,8
Construcción,2019,8229130,8
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,42489644,8
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,36678272,8
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,46043711,8
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,42975113,8
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,41181032,8
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,43372364,8
